City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mvuma,0,ZW,1545531623,96,-19.28,30.53,58.89,6.33
Mamou,0,GN,1545531625,62,10.37,-12.08,57.22,3.76
Vydrino,12,RU,1545531627,100,51.46,104.64,12.94,11.14
Longkou,88,CN,1545531630,100,37.64,120.47,36.57,13.6
Binucayan,36,PH,1545531632,93,8.25,125.72,83.01,3.24
Ilam,0,IR,1545530400,85,33.64,46.42,32.0,2.24
Pussi,92,EE,1545531636,100,59.36,27.05,24.55,7.05
Pontes e Lacerda,24,BR,1545531639,92,-15.23,-59.33,74.91,2.75
Los Llanos de Aridane,56,ES,1545530400,59,28.66,-17.92,62.6,2.24
Luchegorsk,0,RU,1545531643,45,46.44,134.3,16.72,9.01
Tautira,20,PF,1545530400,59,-17.73,-149.15,89.6,4.7
Millinocket,90,US,1545530160,69,45.66,-68.71,32.0,18.34
Baiao,92,BR,1545531650,100,-2.79,-49.67,73.69,2.98
Conceicao do Rio Verde,48,BR,1545531652,89,-21.88,-45.09,66.67,2.98
Havre-Saint-Pierre,90,CA,1545531000,100,50.23,-63.6,39.2,5.82
Galveston,1,US,1545531300,99,40.58,-86.19,35.06,4.7
West Wendover,1,US,1545530160,74,40.74,-114.07,30.02,4.7
Sujangarh,0,IN,1545531662,77,27.7,74.46,47.95,8.39
Tabas,0,IR,1545530400,64,33.6,56.92,37.4,4.7
Zhigansk,0,RU,1545531666,0,66.77,123.37,-32.78,8.34
Mahibadhoo,76,MV,1545531668,100,3.78,72.97,80.26,8.61
Juba,92,EE,1545529800,92,57.82,26.93,21.2,3.36
Alvik,56,SE,1545529800,92,60.75,14.87,12.2,3.36
Surgut,0,RU,1545530400,65,61.25,73.4,-40.01,2.24
Dakar,0,SN,1545530400,20,14.69,-17.45,77.0,11.41
Bodden Town,20,KY,1545530400,73,19.28,-81.25,75.2,13.87
Solina,92,PL,1545531682,87,49.4,22.45,34.36,5.88
Verkh-Usugli,8,RU,1545531684,57,52.7,115.17,-3.35,4.99
Berlevag,44,NO,1545531687,100,70.86,29.09,11.86,9.06
Vysokopillya,90,UA,1545530400,100,47.49,33.53,30.2,11.18
Bathsheba,40,BB,1545530400,74,13.22,-59.52,78.8,17.22
Cranbrook,20,CA,1545531693,71,49.51,-115.76,2.95,1.45
Mango,75,IT,1545529800,81,44.69,8.15,53.6,4.7
Carlsbad,75,CZ,1545526800,86,50.23,12.87,41.0,13.87
Lahat,88,ID,1545531700,100,-3.78,103.55,77.34,4.47
Chifeng,0,CN,1545531703,22,42.27,118.96,13.12,7.9
Sabha,80,LY,1545531705,73,27.03,14.43,45.43,5.77
Selikhino,64,RU,1545531707,79,50.37,137.51,6.55,11.74
Yar-Sale,8,RU,1545531709,45,66.83,70.83,-27.65,17.56
Banjar,64,ID,1545531712,82,-7.37,108.54,79.18,3.69
Dicabisagan,92,PH,1545531714,100,17.08,122.42,73.11,12.26
Khani,40,GE,1545530400,93,41.96,42.96,42.8,4.7
Nanortalik,92,GL,1545531719,93,60.14,-45.24,33.37,10.51
Praia da Vitoria,75,PT,1545526800,93,38.73,-27.07,59.0,17.56
Adra,0,IN,1545530400,93,23.5,86.68,51.8,5.82
Havelock,1,US,1545530160,96,34.88,-76.9,48.92,7.9
Bud,80,NO,1545529800,100,62.91,6.91,37.4,8.05
Kathmandu,20,NP,1545529800,100,27.71,85.32,39.2,3.36
Limaong,40,PH,1545530400,79,7.36,122.37,84.2,4.7
Shasta Lake,75,US,1545530040,70,40.68,-122.36,48.02,5.82
Solnechnyy,64,RU,1545531738,75,50.72,136.64,-0.29,3.58
Paamiut,92,GL,1545531740,92,61.99,-49.67,34.14,39.03
Srednekolymsk,44,RU,1545531742,0,67.46,153.71,-32.24,2.8
Waterloo,90,CA,1545526800,79,43.47,-80.52,28.4,8.05
Khovu-Aksy,0,RU,1545531747,26,51.13,93.72,-21.35,2.24
Namibe,44,AO,1545531749,100,-15.19,12.15,72.07,3.09
Yeniseysk,36,RU,1545531752,66,58.45,92.17,-8.8,5.48
Nueva Gorgona,0,PA,1545530400,83,8.56,-79.88,78.8,9.17
Kargil,8,PK,1545531756,26,34.56,76.13,-27.2,0.56
Mount Isa,0,AU,1545530400,13,-20.73,139.49,98.6,10.29
Santa Cruz de la Palma,56,ES,1545530400,59,28.68,-17.76,62.6,2.24
Aquiraz,20,BR,1545530400,83,-3.9,-38.39,80.6,5.82
Eydhafushi,44,MV,1545531765,100,5.1,73.07,82.24,5.48
Basco,90,US,1545530100,92,40.33,-91.2,32.0,8.05
Touros,20,BR,1545530400,83,-5.2,-35.46,78.8,6.93
Lakes Entrance,0,AU,1545531772,73,-37.88,147.99,68.38,4.7
Asyut,0,EG,1545530400,76,27.18,31.19,50.0,16.11
Manokwari,32,ID,1545531776,96,-0.87,134.08,84.85,5.32
Oistins,40,BB,1545530400,74,13.07,-59.53,78.8,17.22
Te Anau,0,NZ,1545531781,51,-45.41,167.72,63.07,2.57
Saint-Augustin,90,FR,1545528600,100,44.83,-0.61,57.2,4.7
Sao Sebastiao,64,BR,1545531785,100,-3.15,-58.36,74.32,2.53
Lalibela,8,ET,1545531788,100,12.04,39.05,36.97,2.46
Goure,0,NE,1545531790,33,13.98,10.27,56.95,11.86
Zharkent,0,KZ,1545531792,21,44.17,80.0,-17.62,1.23
Goya,100,AR,1545531794,72,-29.14,-59.27,75.81,6.6
Coahuayana,8,MX,1545531797,72,18.62,-100.35,54.12,2.3
Qandala,44,SO,1545531799,100,11.47,49.87,62.35,1.68
Jesus Carranza,5,MX,1545530520,18,31.49,-106.24,62.6,9.17
Collie,12,AU,1545531803,30,-33.36,116.15,90.07,4.47
Najran,0,SA,1545526800,50,17.54,44.22,51.8,1.97
Quba,8,AZ,1545531808,100,41.36,48.51,25.36,3.02
Muroto,75,JP,1545530400,63,33.37,134.14,62.6,4.7
Hualmay,36,PE,1545531812,98,-11.1,-77.61,64.69,5.59
Kurilsk,76,RU,1545531815,100,45.23,147.88,34.09,10.58
Wuwei,0,CN,1545531817,55,37.93,102.64,11.46,1.74
Bam,0,IR,1545531819,62,29.11,58.36,21.4,2.53
Glubokiy,92,RU,1545531822,96,48.52,40.33,34.54,9.62
Dabat,0,ET,1545531824,65,12.98,37.77,40.62,2.3
Barra do Garcas,12,BR,1545531826,82,-15.89,-52.26,76.93,2.01
Saldanha,8,PT,1545531829,83,41.42,-6.55,33.01,2.75
Likasi,92,CD,1545531831,100,-10.99,26.74,63.25,5.26
Veinticinco de Mayo,92,AR,1545531833,95,-27.38,-54.75,71.53,4.7
Semporna,75,MY,1545530400,74,4.48,118.61,86.0,3.36
Thoen,0,TH,1545531837,48,17.61,99.22,82.24,3.02
Makakilo City,1,US,1545530220,52,21.35,-158.09,82.04,6.93
Hurricane,1,US,1545529980,68,37.18,-113.29,30.92,5.82
Luxor,0,EG,1545530400,76,25.7,32.65,50.0,2.86
Nador,0,MA,1545530400,87,35.17,-2.93,50.0,4.7
Buraydah,20,SA,1545526800,93,26.33,43.97,50.0,5.82
Talaya,20,RU,1545530400,83,55.79,84.89,-4.01,3.02
Leh,24,IN,1545531853,0,34.16,77.58,-36.92,0.96
Lamar,90,US,1545530940,88,38.09,-102.62,32.0,4.7
Egvekinot,20,RU,1545531858,0,66.32,-179.17,-30.89,3.8
Sur,0,OM,1545531860,100,22.57,59.53,71.08,10.13
Santa Fe,0,AR,1545531708,77,-31.62,-60.7,67.75,2.68
Omsukchan,24,RU,1545531864,35,62.53,155.8,-25.09,2.68
Antofagasta,0,CL,1545530400,77,-23.65,-70.4,62.6,10.29
Tessalit,0,ML,1545531869,46,20.2,1.01,43.9,4.09
Kristiansund,88,NO,1545529800,100,63.12,7.73,32.0,8.05
Vestmanna,8,FO,1545529800,93,62.16,-7.17,37.4,6.04
San Carlos de Bariloche,0,AR,1545530400,47,-41.13,-71.31,59.0,18.34
Osorno,0,CL,1545531878,79,-40.57,-73.14,54.21,4.59
Tezu,0,IN,1545531880,45,27.93,96.16,57.36,1.74
Kamloops,88,CA,1545531718,75,50.68,-120.34,22.84,2.19
Ondjiva,56,AO,1545531884,95,-17.07,15.73,65.64,4.03
Kununurra,0,AU,1545530400,47,-15.77,128.74,96.8,3.36
Leningradskiy,20,RU,1545531889,100,69.38,178.42,-18.2,12.59
Bonavista,92,CA,1545531891,88,48.65,-53.11,38.64,28.92
Serenje,92,ZM,1545531893,100,-13.23,30.22,63.97,3.36
Sulangan,92,PH,1545531895,100,11.14,123.72,74.68,8.39
Guerrero Negro,0,MX,1545531898,100,27.97,-114.04,56.86,6.49
Araouane,0,ML,1545531900,44,18.9,-3.53,50.38,11.03
Pitimbu,75,BR,1545530400,94,-7.47,-34.81,77.0,4.7
Whitehorse,20,CA,1545531120,84,60.72,-135.06,5.0,14.99
Banjarmasin,88,ID,1545531907,90,-3.32,114.59,82.02,11.81
Mykolayivka,88,UA,1545531909,91,47.54,30.76,39.31,9.8
Shitanjing,0,CN,1545531911,48,39.23,106.34,6.19,1.79
Vyborg,90,RU,1545529800,85,60.71,28.74,15.8,6.93
Bogotol,68,RU,1545531916,70,56.21,89.53,1.33,6.11
Erenhot,0,CN,1545531918,40,43.65,111.97,4.39,14.54
Gorur,80,IN,1545531920,87,12.82,76.06,70.32,9.01
Conceicao do Araguaia,24,BR,1545531923,76,-8.26,-49.26,78.06,6.78
Trige,88,DK,1545529800,100,56.25,10.15,35.6,2.24
Port Macquarie,75,AU,1545530400,64,-31.43,152.91,69.8,8.05
Port Hardy,90,CA,1545527460,80,50.7,-127.42,41.0,29.97
Orsha,92,BY,1545531932,94,54.51,30.43,33.1,8.05
Belmonte,32,PT,1545531934,83,40.36,-7.35,33.01,1.86
Saint-Joseph,0,FR,1545530400,67,43.56,6.97,57.2,13.87
Padang,75,ID,1545530400,83,-0.92,100.36,78.8,2.24
Rorvik,0,NO,1545531941,100,64.86,11.24,16.86,4.76
Bronnoysund,0,NO,1545529800,57,65.46,12.2,21.2,8.05
Colac,0,AU,1545531945,42,-38.34,143.59,74.64,3.36
Salamanca,20,ES,1545530400,75,40.97,-5.66,32.0,2.24
Zhezkazgan,0,KZ,1545530400,75,47.8,67.71,-13.01,6.71
